4;0,2,4,6;1,4,2,3;3.3  
5;-10,-5,0,5,10;2,0,1,-1,-2;-3.7  
3;1.5,3.0,4.5;-2.1,0.0,2.3;2.25  
6;-6,-4,-2,0,2,4;0,1,-1,2,-2,3;-1.1  
4;100,200,300,400;10,20,30,40;250.5  
3;-3,-1,1;7,5,3;-2.3  
5;0.0,0.5,1.0,1.5,2.0;1.1,1.2,1.3,1.4,1.5;0.85  
6;-12,-9,-6,-3,0,3;4,3,2,1,0,-1;-5.5  
4;5,10,15,20;2,4,6,8;13.3  
3;2.2,4.4,6.6;-1.1,0.0,1.1;3.3
4;-4,0,4,8;3,-1,5,2;6.1  
5;1.0,2.0,3.0,4.0,5.0;0.5,1.5,2.5,3.5,4.5;3.3  
3;-10,-5,0;9,-3,2;-6.4  
6;3,6,9,12,15,18;1,2,3,4,5,6;10.5  
4;100,150,200,250;20,30,40,50;175.1  
5;-8.8,-6.6,-4.4,-2.2,0.0;0,2,4,6,8;-3.3  
3;0.0,0.3,0.6;1.0,0.5,0.0;0.15  
6;-15,-12,-9,-6,-3,0;3,6,9,12,15,18;-10.2  
4;7,14,21,28;0,5,10,15;19.9  
5;-100,-80,-60,-40,-20;1,2,3,4,5;-55.5  
